METRIC_L1,METRIC_L2,METRIC_L3,METRIC_L4,METRIC_L5,METRIC_L6,ACCOUNT_ID,DEPARTMENT_ID,CLASS_ID,LOCATION_ID,SUBSIDIARY_ID,ACCOUNT_NAME,DEPARTMENT_NAME
,,,,,,116,,,,41,Sales Orders,
,,,,,,116,,,,42,Sales Orders,
,,,,,,116,,,,43,Sales Orders,
,,,,,,116,,,,44,Sales Orders,
,,,,,,116,,,,45,Sales Orders,
,,,,,,117,,,,1,Unapproved Expense Reports,
,,,,,,117,,,,2,Unapproved Expense Reports,
,,,,,,117,,,,3,Unapproved Expense Reports,
,,,,,,117,,,,4,Unapproved Expense Reports,
,,,,,,117,,,,5,Unapproved Expense Reports,
,,,,,,117,,,,6,Unapproved Expense Reports,
,,,,,,117,,,,11,Unapproved Expense Reports,
,,,,,,117,,,,16,Unapproved Expense Reports,
,,,,,,117,,,,19,Unapproved Expense Reports,
,,,,,,117,,,,20,Unapproved Expense Reports,
,,,,,,117,,,,21,Unapproved Expense Reports,
,,,,,,117,,,,22,Unapproved Expense Reports,
,,,,,,117,,,,23,Unapproved Expense Reports,
,,,,,,117,,,,24,Unapproved Expense Reports,
,,,,,,117,,,,25,Unapproved Expense Reports,
,,,,,,117,,,,26,Unapproved Expense Reports,
,,,,,,117,,,,28,Unapproved Expense Reports,
,,,,,,117,,,,29,Unapproved Expense Reports,
,,,,,,117,,,,31,Unapproved Expense Reports,
,,,,,,117,,,,32,Unapproved Expense Reports,
,,,,,,117,,,,33,Unapproved Expense Reports,
,,,,,,117,,,,35,Unapproved Expense Reports,
,,,,,,117,,,,36,Unapproved Expense Reports,
,,,,,,117,,,,37,Unapproved Expense Reports,
,,,,,,117,,,,39,Unapproved Expense Reports,
,,,,,,117,,,,41,Unapproved Expense Reports,
,,,,,,117,,,,42,Unapproved Expense Reports,
,,,,,,117,,,,43,Unapproved Expense Reports,
,,,,,,117,,,,44,Unapproved Expense Reports,
,,,,,,117,,,,45,Unapproved Expense Reports,
,,,,,,118,,,,1,Advances Paid,
,,,,,,118,,,,2,Advances Paid,
,,,,,,118,,,,3,Advances Paid,
,,,,,,118,,,,4,Advances Paid,
,,,,,,118,,,,5,Advances Paid,
,,,,,,118,,,,6,Advances Paid,
,,,,,,118,,,,11,Advances Paid,
,,,,,,118,,,,16,Advances Paid,
,,,,,,118,,,,19,Advances Paid,
,,,,,,118,,,,20,Advances Paid,
,,,,,,118,,,,21,Advances Paid,
,,,,,,118,,,,22,Advances Paid,
,,,,,,118,,,,23,Advances Paid,
,,,,,,118,,,,24,Advances Paid,
,,,,,,118,,,,25,Advances Paid,
,,,,,,118,,,,26,Advances Paid,
,,,,,,118,,,,28,Advances Paid,
,,,,,,118,,,,29,Advances Paid,
,,,,,,118,,,,31,Advances Paid,
,,,,,,118,,,,32,Advances Paid,
,,,,,,118,,,,33,Advances Paid,
