ACCOUNT_ID,ACCOUNT_NUMBER,SUBSIDIARY_ID,CLASS_ID,DEPARTMENT_ID,LOCATION_ID,Metric_Mapping
148,410100,,,,367,Sales
161,460100,,,,446,Sales
149,410200,,,,436,Sales
270,700184,,,,347,Field G&A
999,101201,,,,171,Assets
1638,480020,,,,475,Sales
972,460322,,,,137,Sales
400,101999,,,,476,Assets
107,210500,,,,58,Liability
108,210600,,,,347,Liability
42,101921,,,,123,Assets
324,S40002,,,,354,
277,700280,,,,170,Field G&A
153,420200,,,,346,Sales
1710,480030,,,,351,Sales
999,101201,,,,366,Assets
1804,100491,,,,477,
152,420100,,,,62,Sales
250,680060,,,,108,Repairs & Maintenance
102,200000,,,,440,Liability
229,660080,,,,142,Direct Operating Expense
41,101920,,,,122,Assets
277,700280,,,,111,Field G&A
153,420200,,,,502,Sales
1711,480501,,,,351,Sales
152,420100,,,,62,Sales
986,460329,,,,359,Sales
324,S40002,,,,210,
277,700280,,,,65,Field G&A
337,100810,,,,124,
107,210500,,,,474,Liability
153,420200,,,,112,Sales
107,210500,,,,357,Liability
153,420200,,,,493,Sales
153,420200,,,,434,Sales
149,410200,,,,439,Sales
1711,480501,,,,134,Sales
1685,690066,,,,135,Marketing & Advertising
1711,480501,,,,474,Sales
178,600105,,,,477,Direct Operating Expense
1614,140405,,,,478,Assets
107,210500,,,,475,Liability
108,210600,,,,356,Liability
201,620110,,,,569,Corporate G&A
1860,101998,,,,126,Assets
153,420200,,,,1,Sales
149,410200,,,,348,Sales
1711,480501,,,,58,Sales
40,101901,,,,137,Assets
1051,100714,,,,445,
227,660060,,,,142,Direct Operating Expense
227,660060,,,,434,Direct Operating Expense
105,210400,,,,352,Liability
1664,100021,,,,357,Assets
976,460324,,,,359,Sales
42,101921,,,,473,Assets
411,100008,,,,360,Assets
411,100008,,,,447,Assets
400,101999,,,,345,Assets
400,101999,,,,169,Assets
1201,100010,,,,58,Assets
986,460329,,,,496,Sales
41,101920,,,,636,Assets
41,101920,,,,141,Assets
1630,140503,,,,130,Assets
