DIM_CLASS_ID,CLASS_NAME,PARENT_CLASS_NAME,ORGANIZATION_LEVEL_NAME,DIM_ORGANIZATION_ID
597,Playfly Sports Properties : College : UTSA Sports Properties,Playfly Sports Properties,Sports Properties,PSP
585,Playfly Global Partnerships : Sales : Playfly Access : Anaheim Ducks,Playfly Global Partnerships,Global Partnerships,PGP
589,Sport & Story : Podcast : The Dog Daily (Mississippi State),Sport & Story,Tech,TECH
581,Sport & Story : Subscription : Auburn University (War Eagle+),Sport & Story,Tech,TECH
609,Sport & Story : Newsletter : Grizzly Brew (Oakland),Sport & Story,Tech,TECH
688,Playfly Global Partnerships : Sales : Playfly Access : Philadelphia Flyers,Playfly Global Partnerships,Global Partnerships,PGP
716,Playfly Global Partnerships : Sales : Playfly Access : Minnesota Twins,Playfly Global Partnerships,Global Partnerships,PGP
720,Playfly Global Partnerships : Sales,Playfly Global Partnerships,Global Partnerships,PGP
752,Playfly Sports Properties : College : Butler Sports Properties,Playfly Sports Properties,Sports Properties,PSP
748,Sport & Story : Production : Country Roads Trust,Sport & Story,Tech,TECH
744,Sport & Story : Production : MSU Coaches Show,Sport & Story,Tech,TECH
740,Gameday : Aspire : Premium Hospitality,Gameday,Sports Properties,PSP
724,Sport & Story : Newsletter : Inside HokieSports (Virginia Tech),Sport & Story,Tech,TECH
680,Playfly Global Partnerships : Sales : Playfly Access : St. Louis Blues,Playfly Global Partnerships,Global Partnerships,PGP
712,Playfly Global Partnerships : Sales : Playfly Access : Cincinnati Reds,Playfly Global Partnerships,Global Partnerships,PGP
708,Playfly Global Partnerships : Sales : Playfly Access : Philadelphia Phillies,Playfly Global Partnerships,Global Partnerships,PGP
696,Playfly Global Partnerships : Sales : Playfly Access : Chicago Blackhawks,Playfly Global Partnerships,Global Partnerships,PGP
692,Playfly Global Partnerships : Sales : Playfly Access : Michigan State Spartans,Playfly Global Partnerships,Global Partnerships,PGP
648,Playfly Global Partnerships : Sales : Playfly Access : Seattle Mariners,Playfly Global Partnerships,Global Partnerships,PGP
684,Sport & Story : Podcast : Sic 'Em Podcast (Baylor Univ),Sport & Story,Tech,TECH
676,Digital Media : RSN : Nexstar Media Tampa - Digital,Digital Media,Media,MEDIA
668,Sport & Story : Newsletter : Good Morning Bronco Nation (Boise State University),Sport & Story,Tech,TECH
664,Sport & Story : Podcast : Flipping Out with Bridget Sloan,Sport & Story,Tech,TECH
660,Playfly Global Partnerships : Sales : Playfly Access : Detroit Tigers,Playfly Global Partnerships,Global Partnerships,PGP
656,Playfly Global Partnerships : Sales : Playfly Access : Big 10,Playfly Global Partnerships,Global Partnerships,PGP
652,Playfly Sports Properties : High School : ASAA Sports Properties,Playfly Sports Properties,Sports Properties,PSP
465,Playfly Global Partnerships : Sales : Playfly Access : Memphis Grizzlies,Playfly Global Partnerships,Global Partnerships,PGP
763,Playfly Global Partnerships : Sales : Playfly Access : Phoenix Suns,Playfly Global Partnerships,Global Partnerships,PGP
625,Playfly Global Partnerships : Sales : Playfly Access : Black Student Athlete Summit,Playfly Global Partnerships,Global Partnerships,PGP
624,Sport & Story : Podcast : This is Sparta (Michigan State),Sport & Story,Tech,TECH
513,Digital Media : Non-RSN : Buffalo Sabres - Digital,Digital Media,Media,MEDIA
512,Digital Media : Non-RSN : Big 10 - Digital,Digital Media,Media,MEDIA
614,Gameday,Gameday,Sports Properties,PSP
470,Playfly Global Partnerships : Sales : Playfly Access : New Orleans Saints,Playfly Global Partnerships,Global Partnerships,PGP
619,Sport & Story : Newsletter : Gator Brew (U of Florida),Sport & Story,Tech,TECH
475,Digital Media : RSN : AT&T SportsNet Rocky Mountain - Digital,Digital Media,Media,MEDIA
454,Sport & Story : Subscription : University of South Carolina (Gamecocks+),Sport & Story,Tech,TECH
460,Playfly Sports Properties : Other MMR : USSSA Sports Properties,Playfly Sports Properties,Sports Properties,PSP
459,Playfly Sports Properties : College : UCF Sports Properties,Playfly Sports Properties,Sports Properties,PSP
747,Sport & Story : Production : Coretta Scott King Vignette Series,Sport & Story,Tech,TECH
449,Playfly Sports Properties : High School : MHSA Sports Properties,Playfly Sports Properties,Sports Properties,PSP
608,Sport & Story : Newsletter : Hoos Brew (UVA),Sport & Story,Tech,TECH
523,Digital Media : Non-RSN : San Antonio Spurs - Digital,Digital Media,Media,MEDIA
481,Digital Media : RSN : Bally Sports Midwest - Digital,Digital Media,Media,MEDIA
731,Playfly Sports Properties : Playfly Max : Louisiana State University,Playfly Sports Properties,Sports Properties,PSP
