DIM_LOCATION_ID,Location_Name,Dim_HR_Location_ID,HR_Location_Name
128,VA One Loudoun,B37,FLAG015-Ashburn-Board Ove
131,VA Purcellville,A73,FLAG017-Purcellville-N Ma
1280,VA Roanoke - Williamson,C39,ULTM040-Roanoke-Williamso
353,VA Roanoke 011,A94,ULTM011-Roanoke-Rutgers
475,VA Roanoke Electric Rd,B63,ULTM022-Roanoke-Electric
355,VA Rocky Mount 013,A92,ULTM013-Rocky Mount-Old F
354,VA Salem 012,A83,ULTM012-Salem-E Main
118,VA South Riding,A55,FLAG006-Chantilly-Town Ha
142,VA Springfield (Embassy),B43,FLAG028-Springfield-Rolli
143,VA Sterling (Embassy),B41,FLAG029-Sterling-Pidgeon
445,VA Sudley Manor (Station Manassas),B27,FLAG035-Manassas-Sudley M
121,VA Vienna,A57,FLAG009-Vienna-Maple
135,VA Woodbridge (Smart),B36,FLAG021-Woodbridge-Minnie
136,VA Woodbridge (Tacketts),B33,FLAG022-Woodbridge-Harbor
357,WV Charleston - MacCorkle Ave 015,A95,ULTM015-Charleston-MacCor
358,WV Dunbar - Village Plaza 016,A97,ULTM016-Dunbar-Dunbar Vil
478,WV Mall Loop White Hall (Middleton Comm),B61,ULTM025-White Hall-Mall L
472,WV South Parkersburg 019,B51,ULTM019-Parkersburg-Pike
483,York Center Drive Sams/WM Outlot 030,C11,ULTM030-Dayton-York Cente
