DIM_LOCATION_ID,LOCATION_NAME,DIM_HR_LOCATION_ID,HR_LOCATION_NAME
18,Citrus,60256149124,Citrus
18,Citrus,60256149126,Citrus
18,Citrus,60256149120,Citrus
18,Citrus,60256149128,Citrus
18,Citrus,60256149125,Citrus
18,Citrus,60256149121,Citrus
18,Citrus,60256149122,Citrus
18,Citrus,60256149123,Citrus
,,60255985002,PET
,,60255985001,PET
,,60255985003,PET
,,60252190487,
